Term_ID	Term_name	Map_ID
mmu04917	Prolactin signaling pathway	map04917
mmu04921	Oxytocin signaling pathway	map04921
mmu04926	Relaxin signaling pathway	map04926
mmu04935	Growth hormone synthesis, secretion and action	map04935
mmu04918	Thyroid hormone synthesis	map04918
mmu04919	Thyroid hormone signaling pathway	map04919
mmu04928	Parathyroid hormone synthesis, secretion and action	map04928
mmu04916	Melanogenesis	map04916
mmu04924	Renin secretion	map04924
mmu04614	Renin-angiotensin system	map04614
mmu04925	Aldosterone synthesis and secretion	map04925
mmu04927	Cortisol synthesis and secretion	map04927
mmu04260	Cardiac muscle contraction	map04260
mmu04261	Adrenergic signaling in cardiomyocytes	map04261
mmu04270	Vascular smooth muscle contraction	map04270
mmu04970	Salivary secretion	map04970
mmu04971	Gastric acid secretion	map04971
mmu04972	Pancreatic secretion	map04972
mmu04976	Bile secretion	map04976
mmu04973	Carbohydrate digestion and absorption	map04973
mmu04974	Protein digestion and absorption	map04974
mmu04975	Fat digestion and absorption	map04975
mmu04979	Cholesterol metabolism	map04979
mmu04977	Vitamin digestion and absorption	map04977
mmu04981	Folate transport and metabolism	map04981
mmu04980	Cobalamin transport and metabolism	map04980
mmu04978	Mineral absorption	map04978
mmu04962	Vasopressin-regulated water reabsorption	map04962
mmu04960	Aldosterone-regulated sodium reabsorption	map04960
mmu04961	Endocrine and other factor-regulated calcium reabsorption	map04961
mmu04964	Proximal tubule bicarbonate reclamation	map04964
mmu04966	Collecting duct acid secretion	map04966
mmu04724	Glutamatergic synapse	map04724
mmu04727	GABAergic synapse	map04727
mmu04725	Cholinergic synapse	map04725
mmu04728	Dopaminergic synapse	map04728
mmu04726	Serotonergic synapse	map04726
mmu04720	Long-term potentiation	map04720
mmu04730	Long-term depression	map04730
mmu04723	Retrograde endocannabinoid signaling	map04723
mmu04721	Synaptic vesicle cycle	map04721
mmu04722	Neurotrophin signaling pathway	map04722
mmu04744	Phototransduction	map04744
mmu04740	Olfactory transduction	map04740
mmu04742	Taste transduction	map04742
mmu04750	Inflammatory mediator regulation of TRP channels	map04750
mmu04360	Axon guidance	map04360
mmu04380	Osteoclast differentiation	map04380
mmu04382	Cornified envelope formation	map04382
mmu04211	Longevity regulating pathway	map04211
mmu04213	Longevity regulating pathway - multiple species	map04213
mmu04710	Circadian rhythm	map04710
mmu04713	Circadian entrainment	map04713
mmu04714	Thermogenesis	map04714
mmu05200	Pathways in cancer	map05200
mmu05202	Transcriptional misregulation in cancer	map05202
mmu05206	MicroRNAs in cancer	map05206
mmu05205	Proteoglycans in cancer	map05205
mmu05204	Chemical carcinogenesis - DNA adducts	map05204
mmu05207	Chemical carcinogenesis - receptor activation	map05207
mmu05208	Chemical carcinogenesis - reactive oxygen species	map05208
mmu05203	Viral carcinogenesis	map05203
mmu05230	Central carbon metabolism in cancer	map05230
mmu05231	Choline metabolism in cancer	map05231
mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	map05235
mmu05210	Colorectal cancer	map05210
mmu05212	Pancreatic cancer	map05212
mmu05225	Hepatocellular carcinoma	map05225
mmu05226	Gastric cancer	map05226
mmu05214	Glioma	map05214
mmu05216	Thyroid cancer	map05216
mmu05221	Acute myeloid leukemia	map05221
mmu05220	Chronic myeloid leukemia	map05220
mmu05217	Basal cell carcinoma	map05217
mmu05218	Melanoma	map05218
mmu05211	Renal cell carcinoma	map05211
mmu05219	Bladder cancer	map05219
mmu05215	Prostate cancer	map05215
mmu05213	Endometrial cancer	map05213
mmu05224	Breast cancer	map05224
mmu05222	Small cell lung cancer	map05222
mmu05223	Non-small cell lung cancer	map05223
mmu05166	Human T-cell leukemia virus 1 infection	map05166
mmu05170	Human immunodeficiency virus 1 infection	map05170
mmu05161	Hepatitis B	map05161
mmu05160	Hepatitis C	map05160
mmu05171	Coronavirus disease	map05171
mmu05164	Influenza A	map05164
mmu05162	Measles	map05162
mmu05168	Herpes simplex virus 1 infection	map05168
mmu05163	Human cytomegalovirus infection	map05163
mmu05167	Kaposi sarcoma-associated herpesvirus infection	map05167
mmu05169	Epstein-Barr virus infection	map05169
mmu05165	Human papillomavirus infection	map05165
mmu05132	Salmonella infection	map05132
mmu05135	Yersinia infection	map05135
mmu05133	Pertussis	map05133
mmu05134	Legionellosis	map05134
mmu05150	Staphylococcus aureus infection	map05150
mmu05152	Tuberculosis	map05152
mmu05100	Bacterial invasion of epithelial cells	map05100
mmu05146	Amoebiasis	map05146
mmu05144	Malaria	map05144
mmu05145	Toxoplasmosis	map05145
mmu05140	Leishmaniasis	map05140
mmu05142	Chagas disease	map05142
mmu05143	African trypanosomiasis	map05143
mmu05310	Asthma	map05310
mmu05322	Systemic lupus erythematosus	map05322
mmu05323	Rheumatoid arthritis	map05323
mmu05320	Autoimmune thyroid disease	map05320
