Feature_ID	Term_ID	Term_name
C06892	mmu00562	Inositol phosphate metabolism
C06893	mmu00562	Inositol phosphate metabolism
C11174	mmu00562	Inositol phosphate metabolism
C11526	mmu00562	Inositol phosphate metabolism
C11554	mmu00562	Inositol phosphate metabolism
C11555	mmu00562	Inositol phosphate metabolism
C11556	mmu00562	Inositol phosphate metabolism
C11557	mmu00562	Inositol phosphate metabolism
C16737	mmu00562	Inositol phosphate metabolism
C19794	mmu00562	Inositol phosphate metabolism
C19799	mmu00562	Inositol phosphate metabolism
C19891	mmu00562	Inositol phosphate metabolism
C20251	mmu00562	Inositol phosphate metabolism
C20690	mmu00562	Inositol phosphate metabolism
C21643	mmu00562	Inositol phosphate metabolism
C21644	mmu00562	Inositol phosphate metabolism
C00154	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C00249	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C00346	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C00350	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C00412	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C01194	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C21932	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22963	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22964	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22965	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22966	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22967	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22968	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22970	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22971	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C22972	mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C00040	mmu00564	Glycerophospholipid metabolism
C00065	mmu00564	Glycerophospholipid metabolism
C00084	mmu00564	Glycerophospholipid metabolism
C00093	mmu00564	Glycerophospholipid metabolism
C00111	mmu00564	Glycerophospholipid metabolism
C00114	mmu00564	Glycerophospholipid metabolism
C00157	mmu00564	Glycerophospholipid metabolism
C00189	mmu00564	Glycerophospholipid metabolism
C00269	mmu00564	Glycerophospholipid metabolism
C00307	mmu00564	Glycerophospholipid metabolism
C00344	mmu00564	Glycerophospholipid metabolism
C00346	mmu00564	Glycerophospholipid metabolism
C00350	mmu00564	Glycerophospholipid metabolism
C00416	mmu00564	Glycerophospholipid metabolism
C00513	mmu00564	Glycerophospholipid metabolism
C00570	mmu00564	Glycerophospholipid metabolism
C00588	mmu00564	Glycerophospholipid metabolism
C00623	mmu00564	Glycerophospholipid metabolism
C00641	mmu00564	Glycerophospholipid metabolism
C00670	mmu00564	Glycerophospholipid metabolism
C00681	mmu00564	Glycerophospholipid metabolism
C01194	mmu00564	Glycerophospholipid metabolism
C01210	mmu00564	Glycerophospholipid metabolism
C01233	mmu00564	Glycerophospholipid metabolism
C01241	mmu00564	Glycerophospholipid metabolism
C01996	mmu00564	Glycerophospholipid metabolism
C02737	mmu00564	Glycerophospholipid metabolism
C03372	mmu00564	Glycerophospholipid metabolism
C03819	mmu00564	Glycerophospholipid metabolism
C03872	mmu00564	Glycerophospholipid metabolism
C03892	mmu00564	Glycerophospholipid metabolism
C03974	mmu00564	Glycerophospholipid metabolism
C04230	mmu00564	Glycerophospholipid metabolism
C04233	mmu00564	Glycerophospholipid metabolism
C04308	mmu00564	Glycerophospholipid metabolism
C04438	mmu00564	Glycerophospholipid metabolism
C04590	mmu00564	Glycerophospholipid metabolism
C04638	mmu00564	Glycerophospholipid metabolism
C05973	mmu00564	Glycerophospholipid metabolism
C05974	mmu00564	Glycerophospholipid metabolism
C05976	mmu00564	Glycerophospholipid metabolism
C05980	mmu00564	Glycerophospholipid metabolism
C06771	mmu00564	Glycerophospholipid metabolism
C06772	mmu00564	Glycerophospholipid metabolism
C13482	mmu00564	Glycerophospholipid metabolism
C18059	mmu00564	Glycerophospholipid metabolism
C18125	mmu00564	Glycerophospholipid metabolism
C18126	mmu00564	Glycerophospholipid metabolism
C18129	mmu00564	Glycerophospholipid metabolism
C18168	mmu00564	Glycerophospholipid metabolism
C18169	mmu00564	Glycerophospholipid metabolism
C20466	mmu00564	Glycerophospholipid metabolism
C20518	mmu00564	Glycerophospholipid metabolism
C22340	mmu00564	Glycerophospholipid metabolism
C22341	mmu00564	Glycerophospholipid metabolism
C22342	mmu00564	Glycerophospholipid metabolism
C00670	mmu00565	Ether lipid metabolism
C00958	mmu00565	Ether lipid metabolism
C01233	mmu00565	Ether lipid metabolism
C01264	mmu00565	Ether lipid metabolism
C02773	mmu00565	Ether lipid metabolism
C03201	mmu00565	Ether lipid metabolism
C03372	mmu00565	Ether lipid metabolism
C03454	mmu00565	Ether lipid metabolism
C03715	mmu00565	Ether lipid metabolism
C03820	mmu00565	Ether lipid metabolism
C03968	mmu00565	Ether lipid metabolism
C04317	mmu00565	Ether lipid metabolism
C04361	mmu00565	Ether lipid metabolism
C04475	mmu00565	Ether lipid metabolism
C04517	mmu00565	Ether lipid metabolism
C04598	mmu00565	Ether lipid metabolism
C04635	mmu00565	Ether lipid metabolism
C04756	mmu00565	Ether lipid metabolism
C05212	mmu00565	Ether lipid metabolism
C05977	mmu00565	Ether lipid metabolism
C15645	mmu00565	Ether lipid metabolism
C15646	mmu00565	Ether lipid metabolism
C15647	mmu00565	Ether lipid metabolism
C20825	mmu00565	Ether lipid metabolism
C20859	mmu00565	Ether lipid metabolism
C00157	mmu00590	Arachidonic acid metabolism
C00219	mmu00590	Arachidonic acid metabolism
C00427	mmu00590	Arachidonic acid metabolism
C00584	mmu00590	Arachidonic acid metabolism
C00639	mmu00590	Arachidonic acid metabolism
C00696	mmu00590	Arachidonic acid metabolism
C00909	mmu00590	Arachidonic acid metabolism
C01312	mmu00590	Arachidonic acid metabolism
C02165	mmu00590	Arachidonic acid metabolism
C02166	mmu00590	Arachidonic acid metabolism
C02198	mmu00590	Arachidonic acid metabolism
C03577	mmu00590	Arachidonic acid metabolism
C04577	mmu00590	Arachidonic acid metabolism
C04671	mmu00590	Arachidonic acid metabolism
C04707	mmu00590	Arachidonic acid metabolism
C04742	mmu00590	Arachidonic acid metabolism
C04758	mmu00590	Arachidonic acid metabolism
C04805	mmu00590	Arachidonic acid metabolism
C04822	mmu00590	Arachidonic acid metabolism
C04835	mmu00590	Arachidonic acid metabolism
C04853	mmu00590	Arachidonic acid metabolism
C05356	mmu00590	Arachidonic acid metabolism
C05949	mmu00590	Arachidonic acid metabolism
C05950	mmu00590	Arachidonic acid metabolism
C05951	mmu00590	Arachidonic acid metabolism
C05952	mmu00590	Arachidonic acid metabolism
C05953	mmu00590	Arachidonic acid metabolism
C05954	mmu00590	Arachidonic acid metabolism
C05955	mmu00590	Arachidonic acid metabolism
C05956	mmu00590	Arachidonic acid metabolism
C05957	mmu00590	Arachidonic acid metabolism
C05958	mmu00590	Arachidonic acid metabolism
C05959	mmu00590	Arachidonic acid metabolism
C05960	mmu00590	Arachidonic acid metabolism
C05961	mmu00590	Arachidonic acid metabolism
C05962	mmu00590	Arachidonic acid metabolism
C05963	mmu00590	Arachidonic acid metabolism
C05964	mmu00590	Arachidonic acid metabolism
C05965	mmu00590	Arachidonic acid metabolism
C05966	mmu00590	Arachidonic acid metabolism
C06314	mmu00590	Arachidonic acid metabolism
C06315	mmu00590	Arachidonic acid metabolism
C06462	mmu00590	Arachidonic acid metabolism
C13809	mmu00590	Arachidonic acid metabolism
C14717	mmu00590	Arachidonic acid metabolism
C14732	mmu00590	Arachidonic acid metabolism
C14748	mmu00590	Arachidonic acid metabolism
C14749	mmu00590	Arachidonic acid metabolism
C14768	mmu00590	Arachidonic acid metabolism
C14769	mmu00590	Arachidonic acid metabolism
C14770	mmu00590	Arachidonic acid metabolism
C14771	mmu00590	Arachidonic acid metabolism
C14772	mmu00590	Arachidonic acid metabolism
C14773	mmu00590	Arachidonic acid metabolism
C14774	mmu00590	Arachidonic acid metabolism
C14775	mmu00590	Arachidonic acid metabolism
C14776	mmu00590	Arachidonic acid metabolism
C14777	mmu00590	Arachidonic acid metabolism
C14778	mmu00590	Arachidonic acid metabolism
C14779	mmu00590	Arachidonic acid metabolism
C14780	mmu00590	Arachidonic acid metabolism
C14781	mmu00590	Arachidonic acid metabolism
C14782	mmu00590	Arachidonic acid metabolism
C14794	mmu00590	Arachidonic acid metabolism
C14795	mmu00590	Arachidonic acid metabolism
C14807	mmu00590	Arachidonic acid metabolism
C14808	mmu00590	Arachidonic acid metabolism
C14809	mmu00590	Arachidonic acid metabolism
C14810	mmu00590	Arachidonic acid metabolism
C14811	mmu00590	Arachidonic acid metabolism
C14812	mmu00590	Arachidonic acid metabolism
C14813	mmu00590	Arachidonic acid metabolism
C14814	mmu00590	Arachidonic acid metabolism
C14815	mmu00590	Arachidonic acid metabolism
C14820	mmu00590	Arachidonic acid metabolism
C14821	mmu00590	Arachidonic acid metabolism
C14822	mmu00590	Arachidonic acid metabolism
C14823	mmu00590	Arachidonic acid metabolism
C14824	mmu00590	Arachidonic acid metabolism
C00157	mmu00591	Linoleic acid metabolism
C00219	mmu00591	Linoleic acid metabolism
C01595	mmu00591	Linoleic acid metabolism
C03242	mmu00591	Linoleic acid metabolism
C04056	mmu00591	Linoleic acid metabolism
C04717	mmu00591	Linoleic acid metabolism
C06426	mmu00591	Linoleic acid metabolism
C07289	mmu00591	Linoleic acid metabolism
C07338	mmu00591	Linoleic acid metabolism
C07354	mmu00591	Linoleic acid metabolism
C14762	mmu00591	Linoleic acid metabolism
C14765	mmu00591	Linoleic acid metabolism
C14766	mmu00591	Linoleic acid metabolism
C14767	mmu00591	Linoleic acid metabolism
C14825	mmu00591	Linoleic acid metabolism
C14826	mmu00591	Linoleic acid metabolism
C14827	mmu00591	Linoleic acid metabolism
C14828	mmu00591	Linoleic acid metabolism
C14829	mmu00591	Linoleic acid metabolism
C14831	mmu00591	Linoleic acid metabolism
C14832	mmu00591	Linoleic acid metabolism
C14833	mmu00591	Linoleic acid metabolism
C14834	mmu00591	Linoleic acid metabolism
C14835	mmu00591	Linoleic acid metabolism
C14836	mmu00591	Linoleic acid metabolism
C14837	mmu00591	Linoleic acid metabolism
C19937	mmu00591	Linoleic acid metabolism
C20186	mmu00591	Linoleic acid metabolism
C22918	mmu00591	Linoleic acid metabolism
C00157	mmu00592	alpha-Linolenic acid metabolism
C00235	mmu00592	alpha-Linolenic acid metabolism
C01226	mmu00592	alpha-Linolenic acid metabolism
C04672	mmu00592	alpha-Linolenic acid metabolism
C04780	mmu00592	alpha-Linolenic acid metabolism
C04785	mmu00592	alpha-Linolenic acid metabolism
C06427	mmu00592	alpha-Linolenic acid metabolism
C07594	mmu00592	alpha-Linolenic acid metabolism
C08490	mmu00592	alpha-Linolenic acid metabolism
C08491	mmu00592	alpha-Linolenic acid metabolism
C08492	mmu00592	alpha-Linolenic acid metabolism
C09842	mmu00592	alpha-Linolenic acid metabolism
C09845	mmu00592	alpha-Linolenic acid metabolism
C09846	mmu00592	alpha-Linolenic acid metabolism
C09894	mmu00592	alpha-Linolenic acid metabolism
C11512	mmu00592	alpha-Linolenic acid metabolism
C16300	mmu00592	alpha-Linolenic acid metabolism
C16308	mmu00592	alpha-Linolenic acid metabolism
C16309	mmu00592	alpha-Linolenic acid metabolism
C16310	mmu00592	alpha-Linolenic acid metabolism
C16311	mmu00592	alpha-Linolenic acid metabolism
C16316	mmu00592	alpha-Linolenic acid metabolism
C16317	mmu00592	alpha-Linolenic acid metabolism
C16318	mmu00592	alpha-Linolenic acid metabolism
C16319	mmu00592	alpha-Linolenic acid metabolism
C16320	mmu00592	alpha-Linolenic acid metabolism
C16321	mmu00592	alpha-Linolenic acid metabolism
C16322	mmu00592	alpha-Linolenic acid metabolism
C16323	mmu00592	alpha-Linolenic acid metabolism
C16324	mmu00592	alpha-Linolenic acid metabolism
C16325	mmu00592	alpha-Linolenic acid metabolism
C16326	mmu00592	alpha-Linolenic acid metabolism
C16327	mmu00592	alpha-Linolenic acid metabolism
C16328	mmu00592	alpha-Linolenic acid metabolism
C16330	mmu00592	alpha-Linolenic acid metabolism
C16331	mmu00592	alpha-Linolenic acid metabolism
C16332	mmu00592	alpha-Linolenic acid metabolism
C16334	mmu00592	alpha-Linolenic acid metabolism
C16335	mmu00592	alpha-Linolenic acid metabolism
C16336	mmu00592	alpha-Linolenic acid metabolism
