Feature_ID	Term_ID	Term_name
75600	mmu04722	Neurotrophin signaling pathway
77480	mmu04722	Neurotrophin signaling pathway
78405	mmu04722	Neurotrophin signaling pathway
80796	mmu04722	Neurotrophin signaling pathway
94275	mmu04722	Neurotrophin signaling pathway
100041273	mmu04723	Retrograde endocannabinoid signaling
100042503	mmu04723	Retrograde endocannabinoid signaling
100043318	mmu04723	Retrograde endocannabinoid signaling
100502727	mmu04723	Retrograde endocannabinoid signaling
100503710	mmu04723	Retrograde endocannabinoid signaling
102631912	mmu04723	Retrograde endocannabinoid signaling
102633809	mmu04723	Retrograde endocannabinoid signaling
102634451	mmu04723	Retrograde endocannabinoid signaling
104110	mmu04723	Retrograde endocannabinoid signaling
104111	mmu04723	Retrograde endocannabinoid signaling
104130	mmu04723	Retrograde endocannabinoid signaling
108071	mmu04723	Retrograde endocannabinoid signaling
110886	mmu04723	Retrograde endocannabinoid signaling
11512	mmu04723	Retrograde endocannabinoid signaling
11513	mmu04723	Retrograde endocannabinoid signaling
11514	mmu04723	Retrograde endocannabinoid signaling
11515	mmu04723	Retrograde endocannabinoid signaling
116837	mmu04723	Retrograde endocannabinoid signaling
12286	mmu04723	Retrograde endocannabinoid signaling
12287	mmu04723	Retrograde endocannabinoid signaling
12288	mmu04723	Retrograde endocannabinoid signaling
12289	mmu04723	Retrograde endocannabinoid signaling
12292	mmu04723	Retrograde endocannabinoid signaling
12801	mmu04723	Retrograde endocannabinoid signaling
14073	mmu04723	Retrograde endocannabinoid signaling
140919	mmu04723	Retrograde endocannabinoid signaling
14394	mmu04723	Retrograde endocannabinoid signaling
14395	mmu04723	Retrograde endocannabinoid signaling
14396	mmu04723	Retrograde endocannabinoid signaling
14397	mmu04723	Retrograde endocannabinoid signaling
14399	mmu04723	Retrograde endocannabinoid signaling
14400	mmu04723	Retrograde endocannabinoid signaling
14401	mmu04723	Retrograde endocannabinoid signaling
14402	mmu04723	Retrograde endocannabinoid signaling
14403	mmu04723	Retrograde endocannabinoid signaling
14404	mmu04723	Retrograde endocannabinoid signaling
14405	mmu04723	Retrograde endocannabinoid signaling
14406	mmu04723	Retrograde endocannabinoid signaling
14407	mmu04723	Retrograde endocannabinoid signaling
14408	mmu04723	Retrograde endocannabinoid signaling
14409	mmu04723	Retrograde endocannabinoid signaling
14677	mmu04723	Retrograde endocannabinoid signaling
14678	mmu04723	Retrograde endocannabinoid signaling
14679	mmu04723	Retrograde endocannabinoid signaling
14681	mmu04723	Retrograde endocannabinoid signaling
14682	mmu04723	Retrograde endocannabinoid signaling
14688	mmu04723	Retrograde endocannabinoid signaling
14693	mmu04723	Retrograde endocannabinoid signaling
14695	mmu04723	Retrograde endocannabinoid signaling
14696	mmu04723	Retrograde endocannabinoid signaling
14697	mmu04723	Retrograde endocannabinoid signaling
14699	mmu04723	Retrograde endocannabinoid signaling
14700	mmu04723	Retrograde endocannabinoid signaling
14701	mmu04723	Retrograde endocannabinoid signaling
14702	mmu04723	Retrograde endocannabinoid signaling
14704	mmu04723	Retrograde endocannabinoid signaling
14706	mmu04723	Retrograde endocannabinoid signaling
14707	mmu04723	Retrograde endocannabinoid signaling
14708	mmu04723	Retrograde endocannabinoid signaling
14709	mmu04723	Retrograde endocannabinoid signaling
14710	mmu04723	Retrograde endocannabinoid signaling
14799	mmu04723	Retrograde endocannabinoid signaling
14800	mmu04723	Retrograde endocannabinoid signaling
14802	mmu04723	Retrograde endocannabinoid signaling
14816	mmu04723	Retrograde endocannabinoid signaling
16438	mmu04723	Retrograde endocannabinoid signaling
16439	mmu04723	Retrograde endocannabinoid signaling
16440	mmu04723	Retrograde endocannabinoid signaling
16519	mmu04723	Retrograde endocannabinoid signaling
16521	mmu04723	Retrograde endocannabinoid signaling
16522	mmu04723	Retrograde endocannabinoid signaling
16524	mmu04723	Retrograde endocannabinoid signaling
17716	mmu04723	Retrograde endocannabinoid signaling
17717	mmu04723	Retrograde endocannabinoid signaling
17718	mmu04723	Retrograde endocannabinoid signaling
17719	mmu04723	Retrograde endocannabinoid signaling
17720	mmu04723	Retrograde endocannabinoid signaling
17721	mmu04723	Retrograde endocannabinoid signaling
17722	mmu04723	Retrograde endocannabinoid signaling
17991	mmu04723	Retrograde endocannabinoid signaling
17992	mmu04723	Retrograde endocannabinoid signaling
17993	mmu04723	Retrograde endocannabinoid signaling
17995	mmu04723	Retrograde endocannabinoid signaling
18747	mmu04723	Retrograde endocannabinoid signaling
18749	mmu04723	Retrograde endocannabinoid signaling
18750	mmu04723	Retrograde endocannabinoid signaling
18751	mmu04723	Retrograde endocannabinoid signaling
18752	mmu04723	Retrograde endocannabinoid signaling
18795	mmu04723	Retrograde endocannabinoid signaling
18796	mmu04723	Retrograde endocannabinoid signaling
18797	mmu04723	Retrograde endocannabinoid signaling
18798	mmu04723	Retrograde endocannabinoid signaling
19094	mmu04723	Retrograde endocannabinoid signaling
19225	mmu04723	Retrograde endocannabinoid signaling
210044	mmu04723	Retrograde endocannabinoid signaling
216227	mmu04723	Retrograde endocannabinoid signaling
216643	mmu04723	Retrograde endocannabinoid signaling
22348	mmu04723	Retrograde endocannabinoid signaling
224129	mmu04723	Retrograde endocannabinoid signaling
225887	mmu04723	Retrograde endocannabinoid signaling
226646	mmu04723	Retrograde endocannabinoid signaling
227197	mmu04723	Retrograde endocannabinoid signaling
230075	mmu04723	Retrograde endocannabinoid signaling
231871	mmu04723	Retrograde endocannabinoid signaling
23945	mmu04723	Retrograde endocannabinoid signaling
242864	mmu04723	Retrograde endocannabinoid signaling
26413	mmu04723	Retrograde endocannabinoid signaling
26414	mmu04723	Retrograde endocannabinoid signaling
26415	mmu04723	Retrograde endocannabinoid signaling
26416	mmu04723	Retrograde endocannabinoid signaling
26417	mmu04723	Retrograde endocannabinoid signaling
26419	mmu04723	Retrograde endocannabinoid signaling
26420	mmu04723	Retrograde endocannabinoid signaling
269060	mmu04723	Retrograde endocannabinoid signaling
29857	mmu04723	Retrograde endocannabinoid signaling
328699	mmu04723	Retrograde endocannabinoid signaling
407785	mmu04723	Retrograde endocannabinoid signaling
407790	mmu04723	Retrograde endocannabinoid signaling
432530	mmu04723	Retrograde endocannabinoid signaling
53623	mmu04723	Retrograde endocannabinoid signaling
54405	mmu04723	Retrograde endocannabinoid signaling
54652	mmu04723	Retrograde endocannabinoid signaling
57249	mmu04723	Retrograde endocannabinoid signaling
595136	mmu04723	Retrograde endocannabinoid signaling
623286	mmu04723	Retrograde endocannabinoid signaling
64337	mmu04723	Retrograde endocannabinoid signaling
66046	mmu04723	Retrograde endocannabinoid signaling
66066	mmu04723	Retrograde endocannabinoid signaling
66082	mmu04723	Retrograde endocannabinoid signaling
66091	mmu04723	Retrograde endocannabinoid signaling
66108	mmu04723	Retrograde endocannabinoid signaling
66218	mmu04723	Retrograde endocannabinoid signaling
66377	mmu04723	Retrograde endocannabinoid signaling
66414	mmu04723	Retrograde endocannabinoid signaling
66416	mmu04723	Retrograde endocannabinoid signaling
66495	mmu04723	Retrograde endocannabinoid signaling
66916	mmu04723	Retrograde endocannabinoid signaling
67130	mmu04723	Retrograde endocannabinoid signaling
67184	mmu04723	Retrograde endocannabinoid signaling
67264	mmu04723	Retrograde endocannabinoid signaling
67273	mmu04723	Retrograde endocannabinoid signaling
68194	mmu04723	Retrograde endocannabinoid signaling
68197	mmu04723	Retrograde endocannabinoid signaling
68198	mmu04723	Retrograde endocannabinoid signaling
68202	mmu04723	Retrograde endocannabinoid signaling
68342	mmu04723	Retrograde endocannabinoid signaling
68349	mmu04723	Retrograde endocannabinoid signaling
68375	mmu04723	Retrograde endocannabinoid signaling
69875	mmu04723	Retrograde endocannabinoid signaling
70316	mmu04723	Retrograde endocannabinoid signaling
72900	mmu04723	Retrograde endocannabinoid signaling
72961	mmu04723	Retrograde endocannabinoid signaling
75406	mmu04723	Retrograde endocannabinoid signaling
78330	mmu04723	Retrograde endocannabinoid signaling
100043318	mmu04724	Glutamatergic synapse
100503710	mmu04724	Glutamatergic synapse
102633809	mmu04724	Glutamatergic synapse
104110	mmu04724	Glutamatergic synapse
104111	mmu04724	Glutamatergic synapse
105727	mmu04724	Glutamatergic synapse
108068	mmu04724	Glutamatergic synapse
108069	mmu04724	Glutamatergic synapse
108071	mmu04724	Glutamatergic synapse
108072	mmu04724	Glutamatergic synapse
108073	mmu04724	Glutamatergic synapse
110355	mmu04724	Glutamatergic synapse
110637	mmu04724	Glutamatergic synapse
11512	mmu04724	Glutamatergic synapse
11513	mmu04724	Glutamatergic synapse
11514	mmu04724	Glutamatergic synapse
11515	mmu04724	Glutamatergic synapse
12286	mmu04724	Glutamatergic synapse
12288	mmu04724	Glutamatergic synapse
12289	mmu04724	Glutamatergic synapse
13385	mmu04724	Glutamatergic synapse
